"","haul.id","StatRec","HaulLat","HaulLong","num_fish","area_100_km2","abundance_km2"
"1","2011_1_494","44G9",57.7517,19.475,867306.08,0.0676,12828311.1284
"2","2011_1_481","43G6",57.3727,16.9018,240631.84,0.0789,3051157.6952
"3","2011_1_489","43G9",57.368,19.1852,167232.32,0.0725,2306525.4331
"4","2011_1_484","43G7",57.4773,17.0717,103161.84,0.0635,1625261.3669
"5","2011_1_498","45G9",58.4548,19.3955,91461.6,0.0723,1265830.0377
"6","2011_1_482","43G7",57.431,17.0117,62842.22,0.0696,902360.9316
"7","2011_1_496","44G9",57.6897,19.3787,36564.07,0.0687,531937.7341
"8","2011_1_474","40G5",55.69,15.1087,35723.45,0.0676,528469.0375
"9","2011_1_488","43G9",57.3122,19.0658,31284.14,0.0692,451906.626
"10","2011_1_480","42G6",56.6928,16.9988,15368.26,0.0685,224508.2027
"11","2011_1_472","40G4",55.6893,14.8635,7735.89,0.0694,111434.8376
"12","2011_1_495","44G9",57.6723,19.3908,7818.67,0.0706,110698.6029
"13","2011_1_499","45G9",58.356,19.1007,7033.04,0.0679,103592.3496
"14","2011_1_476","40G5",55.8878,15.566,7356.85,0.0725,101468.1949
"15","2011_1_490","43G9",57.3542,19.0817,6038.22,0.0623,96864.1417
"16","2011_1_473","40G4",55.7058,14.8518,5982.73,0.069,86722.5709
"17","2011_1_485","43G8",57.0598,18.8307,5490.18,0.072,76217.0379
"18","2011_1_468","40G4",55.6388,14.6212,2890.82,0.0876,32995.7084
"19","2011_1_479","41G6",56.4802,16.9587,1979.06,0.0732,27036.8005
"20","2011_1_483","43G7",57.1065,17.2872,1990.41,0.0766,25999.0595
"21","2011_1_493","44G9",57.864,19.4838,1707.58,0.0703,24279.1078
"22","2011_1_478","40G5",55.9658,15.3992,1641.31,0.0704,23325.5762
"23","2011_1_475","40G5",55.7677,15.4317,737.8,0.0685,10768.2484
"24","2011_1_492","44G9",57.8898,19.4262,222,0.0657,3376.6313
"25","2011_1_477","40G5",55.8213,15.4163,87,0.0692,1257.3027
"26","2011_1_486","43G8",57.1697,18.8388,68.51,0.0752,911.2796
"27","2011_1_469","40G4",55.665,14.5108,66,0.0759,869.8145
"28","2011_1_470","40G4",55.7128,14.4062,51,0.0611,834.4787
"29","2011_1_467","40G4",55.6893,14.5117,39,0.0662,589.0438
"30","2011_1_466","40G4",55.6802,14.4755,15,0.0671,223.4304
"31","2011_1_487","43G8",57.1593,18.801,0,0.0678,0
"32","2011_1_491","44G9",57.6073,19.1628,0,0.0669,0
"33","2011_1_497","44G9",57.6727,19.0665,0,0.0619,0
"34","2011_1_500","45G9",58.2705,19.1893,0,0.0649,0
"35","2011_1_504","43G7",57.0528,17.9168,0,0.072,0
