"","StatRec","HaulLat","HaulLong","num_hauls","total_area","total_abundance"
"1","40G5",55.8162,15.3953,6,0.6215,6883380.3016
"2","43G7",57.1018,17.2837,2,0.1946,2926424.0341
"3","40G4",55.7115,14.7157,5,0.4793,483560.5194
"4","42G6",56.7037,16.9848,1,0.0923,432264.7642
"5","40G6",55.7183,16.2255,2,0.2021,368389.1809
"6","43G9",57.3687,19.1807,4,0.4493,322611.9919
"7","41G7",56.0968,17.6377,2,0.2026,205370.9767
"8","44G9",57.822,19.531,2,0.2042,57582.0871
"9","41G8",56.2443,18.4687,5,0.5368,37143.4427
"10","43G6",57.3805,16.8883,1,0.0889,15503.6222
"11","43G8",57.1722,18.8517,3,0.3129,11384.8224
"12","42G7",57.0153,17.9552,1,0.1056,4718.2056
"13","45G9",58.0472,19.4487,1,0.1013,4401.0262
"14","40G7",55.9752,17.1417,1,0.0946,190.296
"15","42G8",56.8805,18.8623,1,0.1084,0
